콜드 브루 커피,"['나이트로 바닐라 크림', '나이트로 콜드 브루', '돌체 콜드 브루', '바닐라 크림 콜드 브루', '제주 비자림 콜드 브루', '콜드 브루', '콜드 브루 몰트', '콜드 브루 플로트']"
브루드 커피,"['아이스 커피', '오늘의 커피']"
에스프레소,"['슈크림 라떼', '아이스 슈크림 라떼', '에스프레소 콘 파나', '에스프레소 마키아또', '아이스 카페 아메리카노', '카페 아메리카노', '아이스 카라멜 마키아또', '카라멜 마키아또', '아이스 카푸치노', '카푸치노', '라벤더 카페 브레베', '럼 샷 코르타도', '바닐라 빈 라떼', '스타벅스 돌체 라떼', '아이스 라벤더 카페 브레베', '아이스 바닐라 빈 라떼', '아이스 스타벅스 돌체 라떼', '아이스 제주 샤이닝 바나나 라떼', '아이스 카페 라떼', '제주 샤이닝 바나나 라떼', '카페 라떼', '아이스 카페 모카', '아이스 화이트 초콜릿 모카', '카페 모카', '화이트 초콜릿 모카', '바닐라 플랫 화이트', '바닐라 스타벅스 더블 샷', '블론드 바닐라 더블 샷 마키아또', '아이스 블론드 바닐라 더블 샷 마키아또', '에스프레소', '커피 스타벅스 더블 샷', '클래식 아포가토', '헤이즐넛 스타벅스 더블 샷']"
프라푸치노,"['슈크림 프라푸치노 위드 판나코타', '더블 에스프레소 칩 프라푸치노', '모카 프라푸치노', '에스프레소 프라푸치노', '자바 칩 프라푸치노', '카라멜 프라푸치노', '화이트 초콜릿 모카 프라푸치노', '바닐라 크림 프라푸치노', '제주 까망 크림 프라푸치노', '제주 샤이닝 바나나 크림 프라푸치노', '제주 쑥떡 크림 프라푸치노', '제주 유기농 말차로 만든 크림 프라푸치노', '초콜릿 크림 칩 프라푸치노', '화이트 딸기 크림 프라푸치노', '화이트 타이거 프라푸치노']"
블렌디드,"['망고 패션 후르츠 블렌디드', '딸기 요거트 블렌디드', '망고 바나나 블렌디드', '피치 & 레몬 블렌디드']"
스타벅스 피지오,"['블랙 티 레모네이드 피지오', '쿨 라임 피지오', '패션 탱고 티 레모네이드 피지오', '핑크 자몽 피지오']"
티(티바나),"['라임 패션 티', '민트 블렌드 티', '아이스 라임 패션 티', '아이스 민트 블렌드 티', '아이스 얼 그레이 티', '아이스 유스베리 티', '아이스 유자 민트 티', '아이스 잉글리쉬 브렉퍼스트 티', '아이스 제주 유기 녹차', '아이스 캐모마일 블렌드 티', '아이스 히비스커스 블렌드 티', '얼 그레이 티', '유스베리 티', '유자 민트 티', '이그조틱 레몬 티', '잉글리쉬 브렉퍼스트 티', '자몽 허니 블랙 티', '제주 유기 녹차', '캐모마일 블렌드 티', '패션 푸르트 티', '피치 젤리 티', '히비스커스 블렌드 티', '아이스 이그조틱 레몬 티', '아이스 자몽 허니 블랙 티', '패션 푸르트 칵테일 티', '피치 젤리 아이스 티', '돌체 블랙 밀크 티', '아이스 돌체 블랙 밀크 티', '아이스 제주 유기농 말차로 만든 라떼', '아이스 제주 핑크 뮬리 밀크 티', '아이스 차이 티 라떼', '아이스 허니 얼 그레이 밀크 티', '제주 유기농 말차로 만든 라떼', '제주 핑크 뮬리 밀크 티', '차이 티 라떼', '허니 얼 그레이 밀크 티']"
기타 제조 음료,"['핑크 용과 레모네이드', '시그니처 핫 초콜릿', '아이스 시그니처 초콜릿', '플러피 판다 핫 초콜릿', '라임 플로터 위드 리저브 CB 샷', '스팀 우유', '아이스 제주 까망 라떼', '아이스 제주 별빛 애플 주스', '오렌지 플로터 위드 리저브 CB 샷', '우유', '제주 까망 라떼', '제주 별빛 애플 주스', '제주 쑥쑥 라떼']"
스타벅스 주스(병음료),"['기운내라임 190ML', '파이팅 청귤 190ML', '한방에 쭉 감당 190ML', '도와줘 흑흑 190ML', '딸기주스 190ML', '망고주스 190ML', '수박주스 190ML', '케일&사과주스 190ML', '토마토주스 190ML', '퍼플베리 굿 190ML', '한라봉주스 190ML', '햇사과 주스 190ML', '블루베리 요거트 190ML', '치아씨드 요거트 190ML']"
